TradeMaximizer Version 1.4aMT
Input from: ./julho2021/wants.txt
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: ec726b75b2a0361c2bf12d607de6f2b5
TRADE LOOPS (396 total trades):

(HICKMORAIS) 8388439       receives (COMPROVA) 8388652
(COMPROVA) 8388652         receives (LUISH) 8386560
(LUISH) 8386560            receives (FMDS) 8387345
(FMDS) 8387345             receives (AVLEDOLIVEIRA) 8379767
(AVLEDOLIVEIRA) 8379767    receives (SAMOTOGAIT) 8380024
(SAMOTOGAIT) 8380024       receives (RUASBR) 8381486
(RUASBR) 8381486           receives (NIEB) 8382383
(NIEB) 8382383             receives (SERGIMCVO) 8388664
(SERGIMCVO) 8388664        receives (GATTONI) 8384486
(GATTONI) 8384486          receives (DDATHAYDE) 8383277
(DDATHAYDE) 8383277        receives (MARCOSFSOUZA) 8388157
(MARCOSFSOUZA) 8388157     receives (ARAGAKI SAN) 8388324
(ARAGAKI SAN) 8388324      receives (SERGIMCVO) 8380436
(SERGIMCVO) 8380436        receives (GORIN) 8388291
(GORIN) 8388291            receives (FILIPPE) 8383805
(FILIPPE) 8383805          receives (FMDS) 8387355
(FMDS) 8387355             receives (RMCORREA) 8379908
(RMCORREA) 8379908         receives (BRUNOBENTO) 8387172
(BRUNOBENTO) 8387172       receives (JACOMINI) 8388164
(JACOMINI) 8388164         receives (SAMOTOGAIT) 8381098
(SAMOTOGAIT) 8381098       receives (THIAGO_MATOS) 8383467
(THIAGO_MATOS) 8383467     receives (MORFEATIRE) 8387661
(MORFEATIRE) 8387661       receives (MARSHA09) 8388238
(MARSHA09) 8388238         receives (SERGIMCVO) 8388087
(SERGIMCVO) 8388087        receives (LINKIGOR) 8388142
(LINKIGOR) 8388142         receives (FILIPERR) 8384647
(FILIPERR) 8384647         receives (ARAGAKI SAN) 8388247
(ARAGAKI SAN) 8388247      receives (ALISONARANTES) 8382952

(ARAGAKI SAN) 8386025      receives (PATTY_TASS) 8388431
(PATTY_TASS) 8388431       receives (SERGIMCVO) 8388659
(SERGIMCVO) 8388659        receives (DDATHAYDE) 8383260
(DDATHAYDE) 8383260        receives (BRUNOBENTO) 8381869
(BRUNOBENTO) 8381869       receives (ARAGAKI SAN) 8386025

(ARAGAKI SAN) 8387642      receives (PSCHULMAN) 8379978
(PSCHULMAN) 8379978        receives (LUCASCMEDEIROS) 8384364
(LUCASCMEDEIROS) 8384364   receives (SAMOTOGAIT) 8380036
(SAMOTOGAIT) 8380036       receives (COCAIO) 8386226
(COCAIO) 8386226           receives (DDATHAYDE) 8383296
(DDATHAYDE) 8383296        receives (PATTY_TASS) 8388496
(PATTY_TASS) 8388496       receives (RMCORREA) 8381607
(RMCORREA) 8381607         receives (REDOUTLAW) 8381796
(REDOUTLAW) 8381796        receives (URIENS1981) 8388305
(URIENS1981) 8388305       receives (FELIPPECANUTO) 8387645
(FELIPPECANUTO) 8387645    receives (FMDS) 8387370
(FMDS) 8387370             receives (LUCASCMEDEIROS) 8381742
(LUCASCMEDEIROS) 8381742   receives (ARAGAKI SAN) 8387642

(COMPROVA) 8383848         receives (LUCASCMEDEIROS) 8380336
(LUCASCMEDEIROS) 8380336   receives (URIENS1981) 8388519
(URIENS1981) 8388519       receives (ROGERIORUSSO) 8385221
(ROGERIORUSSO) 8385221     receives (COMPROVA) 8383848

ITEM SUMMARY (396 total trades):

(ALCMAGALHAES) 8380829     receives (DPMPESSOA) 8382374        and sends to (NYANRICK22) 8380444
(ALCMAGALHAES) 8380830     receives (BRUNOBENTO) 8387180       and sends to (ALEXLETHI) 8380856
(ALCMAGALHAES) 8380832     receives (GUBHZ) 8380047            and sends to (PSALES94) 8381859
(ALCMAGALHAES) 8380836     receives (RTITO66) 8388635          and sends to (RTITO66) 8388635
